epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3863,1.55856,5.31881,0.0342,0.00012,0.06809,0.00045,5e-05,4.0062,5.81144,0.17339,0.000651515,0.000651515,0.0680758
2,46.5112,1.56679,4.01777,0.03465,0.41598,0.08557,0.03044,0.00985,1.77488,4.77546,0.06217,0.00130187,0.00130187,0.0353928
3,64.4919,1.64695,3.83185,0.03669,0.13951,0.15302,0.07049,0.02783,1.79693,4.35651,0.06152,0.00193572,0.00193572,0.0026933
4,82.3054,1.61831,3.73638,0.03539,0.03606,0.12409,0.0782,0.02439,1.88171,4.74743,0.06543,0.00192575,0.00192575,0.00192575
5,99.9997,1.50603,3.65624,0.03339,0.37722,0.24773,0.1067,0.04278,1.84168,4.46364,0.06399,0.001901,0.001901,0.001901
6,117.675,1.56504,3.51363,0.03394,0.24104,0.22919,0.11196,0.03176,2.14846,4.95725,0.07525,0.00187625,0.00187625,0.00187625
7,135.295,1.58553,3.40216,0.03584,0.27222,0.31323,0.19673,0.08211,1.81807,4.0206,0.06252,0.0018515,0.0018515,0.0018515
8,153.117,1.56269,3.38003,0.03453,0.646,0.21329,0.17688,0.06791,1.87599,3.52807,0.06397,0.00182675,0.00182675,0.00182675
9,170.851,1.54848,3.31428,0.03427,0.65043,0.24181,0.21912,0.0823,1.75744,3.51651,0.0601,0.001802,0.001802,0.001802
10,188.569,1.57978,3.27842,0.0346,0.4478,0.30245,0.23038,0.09255,1.79121,3.43995,0.0615,0.00177725,0.00177725,0.00177725
11,206.301,1.54836,3.15921,0.03496,0.3792,0.30414,0.20313,0.08902,1.75451,3.5142,0.06082,0.0017525,0.0017525,0.0017525
12,225.219,1.55952,3.12771,0.03454,0.67881,0.31514,0.29476,0.13205,1.83794,3.22669,0.06411,0.00172775,0.00172775,0.00172775
13,244.463,1.53967,3.07709,0.03453,0.32352,0.3098,0.18824,0.0723,2.13138,3.5601,0.07446,0.001703,0.001703,0.001703
14,263.695,1.51745,3.06259,0.03407,0.15753,0.43929,0.26874,0.13004,1.93206,3.18861,0.06712,0.00167825,0.00167825,0.00167825
15,294.922,1.58435,3.00345,0.03478,0.41862,0.31425,0.26825,0.13018,1.81514,3.18428,0.063,0.0016535,0.0016535,0.0016535
16,322.936,1.52939,3.01674,0.03295,0.29565,0.31148,0.22995,0.09872,1.85766,3.10687,0.06487,0.00162875,0.00162875,0.00162875
17,352.743,1.55039,2.95707,0.03542,0.21797,0.45481,0.3362,0.15874,1.87841,3.02341,0.06541,0.001604,0.001604,0.001604
